Horario del Grupo: 8-1

Hora,Lunes,Martes,Miercoles,Jueves,Viernes
7:00 - 7:55,"Minería de Datos Aplicada
Karla E. VÁZQUEZ ORTIZ
203","Minería de Datos Aplicada
Karla E. VÁZQUEZ ORTIZ
203","Minería de Datos Aplicada
Karla E. VÁZQUEZ ORTIZ
203","Minería de Datos Aplicada
Karla E. VÁZQUEZ ORTIZ
203","Minería de Datos Aplicada
Karla E. VÁZQUEZ ORTIZ
203"
7:55 - 8:50,"Proyectos de Tecnologías de la Información
Alma Delia Amaya Vázquez
205","Proyectos de Tecnologías de la Información
Alma Delia Amaya Vázquez
205","Proyectos de Tecnologías de la Información
Alma Delia Amaya Vázquez
205",,
8:50 - 9:45,"Graficación Por Computadora Avanzada
MARCO ANDRES NUÑO MAGANDA
A1","Graficación Por Computadora Avanzada
MARCO ANDRES NUÑO MAGANDA
A1","Graficación Por Computadora Avanzada
MARCO ANDRES NUÑO MAGANDA
A1","Graficación Por Computadora Avanzada
MARCO ANDRES NUÑO MAGANDA
A1","Graficación Por Computadora Avanzada
MARCO ANDRES NUÑO MAGANDA
A1"
9:45 - 10:10,"Graficación Por Computadora Avanzada
MARCO ANDRES NUÑO MAGANDA
A1",,,,
10:10 - 11:05,"Programación WEB
Israel Pulido Picazo
204","Programación WEB
Israel Pulido Picazo
204","Programación WEB
Israel Pulido Picazo
204","Programación WEB
Israel Pulido Picazo
204","Programación WEB
Israel Pulido Picazo
204"
11:05 - 12:00,,"Administración de Sistemas Integrales
HECTOR HUGO AVILÉS ARRIAGA
203","Administración de Sistemas Integrales
HECTOR HUGO AVILÉS ARRIAGA
203","Administración de Sistemas Integrales
HECTOR HUGO AVILÉS ARRIAGA
203",
12:00 - 12:55,,,,,
12:55 - 13:50,,"Negocios Electrónicos
Hiram Herrera Rivas
202","Negocios Electrónicos
Hiram Herrera Rivas
202","Negocios Electrónicos
Hiram Herrera Rivas
202",
13:50 - 13:55,,,,,
14:00 - 14:55,,,,,
14:55 - 15:50,,,,,
15:50 - 16:45,,,,,
16:45 - 17:10,,,,,
17:10 - 18:05,,,,,
18:05 - 19:00,,,,,
